畠 畠
八 八
鉢 鉢
溌 潑
発 發
醗 醱
髪 髮
伐 伐
罰 罰
抜 拔
筏 筏
閥 閥
鳩 鳩
噺 噺
塙 塙
蛤 蛤
隼 隼
伴 伴
判 判
半 半
反 反
叛 叛
帆 帆
搬 搬
斑 斑
板 板
氾 氾
汎 汎
版 版
犯 犯
班 班
畔 畔
繁 繁
般 般
藩 藩
販 販
範 範
釆 采
煩 煩
頒 頒
飯 飯
挽 挽
晩 晚
番 番
盤 盤
磐 磐
蕃 蕃
蛮 蠻
匪 匪
卑 卑
否 否
妃 妃
庇 庇
彼 彼
悲 悲
扉 扉
批 批
披 披
斐 斐
比 比
泌 泌
疲 疲
皮 皮
碑 碑
秘 秘
緋 緋
罷 罷
肥 肥
被 被
誹 誹
費 費
避 避
非 非
飛 飛
樋 樋
簸 簸
備 備
尾 尾
微 微
枇 枇
毘 毘
琵 琵
眉 眉
美 美
鼻 鼻
柊 柊
稗 稗
匹 匹
疋 疋
髭 髭
彦 彥
膝 膝
菱 菱
肘 肘
弼 弼
必 必
畢 畢
筆 筆
逼 逼
桧 檜
姫 姬
媛 媛
紐 紐
百 百
謬 謬
俵 俵
彪 彪
標 標
氷 冰
漂 漂
瓢 瓢
票 票
表 表
評 評
豹 豹
廟 廟
描 描
病 病
秒 秒
苗 苖
錨 錨
鋲 鋲
蒜 蒜
蛭 蛭
鰭 鰭
品 品
彬 彬
斌 斌
浜 濱
瀕 瀕
貧 貧
賓 賓
頻 頻
敏 敏
瓶 瓶
不 不
付 付
埠 埠
夫 夫
婦 婦
富 富
冨 富
布 布
府 府
怖 怖
扶 扶
敷 敷
斧 斧
普 普
浮 浮
父 父
符 符
腐 腐
膚 膚
芙 芙
譜 譜
負 負
賦 賦
赴 赴
阜 阜
附 附
侮 侮
撫 撫
武 武
舞 舞
葡 葡
蕪 蕪
部 部
封 封
楓 楓
風 風
葺 葺
蕗 蕗
伏 伏
副 副
復 復
幅 幅
服 服
福 福
腹 腹
複 複
覆 覆
淵 淵
弗 弗
払 拂
沸 沸
仏 佛
物 物
鮒 鮒
分 分
吻 吻
噴 噴
墳 墳
憤 憤
扮 扮
焚 焚
奮 奮
粉 粉
糞 糞
紛 紛
雰 雰
文 文
聞 聞
丙 丙
併 併
兵 兵
塀 塀
幣 幣
平 平
弊 弊
柄 柄
並 並
蔽 蔽
閉 閉
陛 陛
米 米
頁 頁
僻 僻
壁 壁
癖 癖
碧 碧
別 別
瞥 瞥
蔑 蔑
箆 篦
偏 偏
変 變
片 片
篇 篇
編 編
